,ext_player_id
465,badams
466,bgee
467,bmorrison
468,badams1
469,bawerbuch
470,bgessner
471,bkeith
472,bmccann
473,bschwalm
474,bwong
475,banderson1
476,bgeorge
477,blo
478,bmoore1
479,bhard
480,bbergmeie
481,bcoffey
482,bdietrich
483,banderson
484,begger
485,bgramann
486,bhidaka
487,bhulsmeye
488,bkolinek
489,bmatzuka
490,bpetersen
491,brobinson1
492,bsawyer
493,bsullivan
494,btan
495,bbaker
496,bcasey
497,bclark
498,bgfroerer
499,bhart
500,bhoward
501,bjager
502,bkibler
503,bkragt
504,bmagerr
505,bmarshall
506,bmclaughl
507,bmoore
508,bpate
509,brathunde
510,broach
511,bschoenro
512,bshinners
513,bstout
514,bstreet
515,unknown14
516,bventura
517,bwilliams
518,bwyer
519,bzid
520,bdunn
521,bjensen
522,bthibodea
523,bsmith
524,bdobson
525,bwallace
526,bdemers
527,bbush
528,bconklin
529,bdowney
530,bdunbar
531,bkuo
532,bnguyen
533,bsansbury
534,bvohnoutk
535,bwalsh
536,byue
537,bdean
538,bcarleton
539,bedwards
540,blozinski
541,bring
542,bwilliams1
543,bsimonfox
544,bnash
545,bliu
546,cwood
547,cbarnes
548,cwhite
549,csigerud
550,cnewby
551,cmcsweene
552,cburt
553,ctornaben
554,ccampbell1
555,cdenecour
556,cdixon
557,cenright
558,cferguson1
559,cposey
560,cseamon
561,cstanish
562,ctexeira
563,cbosworth
564,cmackenzi
565,cbrown1
566,ccoulbury
567,cstoughto
568,ctrisolin
569,calbin
570,cbailey
571,cbellando
572,cburden
573,ccopeland
574,cthatcher
575,cwariner
576,cmah
577,dbaker
578,bcameron
579,cbrock
580,cguidry
581,charris
582,ckennedy
583,cknox
584,clacy
585,csnook
586,ctaleghan
587,cbarrera
588,cnichimlu
589,cjohnson2
590,cmorgenst
591,canker
592,crodrigue
593,cvargas
594,cwolle
595,carmstron1
596,cchamberl
597,cturner
598,cwilder
599,chawkins
600,chollo
601,clankford
602,cmiddleto
603,crae
604,cbybee
605,cdegnan
606,chogg
607,cikeda
608,clemay
609,cpeters
610,cshugarma
611,cstartzel
612,cthornton
613,cvaughn
614,cwu
615,crasmusse
616,cqiu
617,chines
618,caubutbou
619,cbrown
620,cgerber
621,cmccausla
622,cyorgason
623,ccochran
624,cwatson
625,casselin
626,cbariteau
627,ccannon
628,cguay
629,charrity
630,cpatten
631,crobertso
632,cweinberg
633,cyu
634,chendriks
635,cbenafrad
636,cbenforad
637,cedmiston
638,ceide
639,cfurse
640,cmccutche
641,cmercer
642,cmuniz
643,creiff
644,cschuweil
645,cvukovic
646,ccunningh
647,chammond
648,cmarty
649,crawlins
650,csmith2
651,csun
652,ccobb
653,carevalo
654,cbalch
655,cbarrett
656,cbartoli
657,cbrenenbo
658,cbrooks
659,cbubernak
660,ccalhoun
661,ccasella
662,ccassella
663,cchan
664,ccogswell
665,cellis
666,celworth
667,cfarina
668,cgallaghe
669,cgibson
670,cginet
671,cgraber
672,cgrener
673,chancock
674,ckocher
675,ckosednar
676,clarberg
677,clarocque
678,clay
679,clayden
680,cliess
681,cliu
682,clung
683,cmalackan
684,cmazur
685,cmclaughl1
686,cpeak
687,cpowers
688,croach
689,cschulze
690,cvandervo
691,cwalls
692,cwalsh
693,cward
694,cwilen
695,cwilson
696,cwohl
697,cyoungblo
698,czybert
699,cbelus
700,cboxley
701,cfoster
702,cgaeta
703,cgaffney
704,cjohnson1
705,cjohnson3
706,cmathieu
707,colsen
708,cparker
709,cpitts
710,csimpson
711,cwoodfin
712,cferguson
713,ctremblay
714,cnelson
715,cauman
716,cbernard
717,cgrimm
718,cjohnson
719,cmiller1
720,cobrien1
721,csackmann
722,czaleski
723,ccantone
724,ccao
725,chippman
726,cclarke
727,ccolicchi
728,cobrien
729,ccofer
730,cwang
731,ccollins
732,cmiller
733,cschelitz
734,ccarey
735,cpartlow
736,cyip
737,cressel
738,cmcsherry
739,cloverane
740,ccoates
741,ccurran
742,cfox
743,cjohns
744,cjohnston
745,ckirkland
746,cmcinnis
747,crebholz
748,cspicer
749,cdavisbra
750,ceustis
751,cfriedes
752,chyzer
753,cjensen
754,cjurek
755,cmires
756,cmoore
757,cosborn
758,crobinett
759,cstenseth
760,csullivan
761,cwallin
762,ctappero
763,cwhite1
764,cbeaurega
765,cberry
766,cbilodeau
767,ccamp
768,ccopler
769,cfremeau
770,cfroats1
771,cgrandon
772,cgrant
773,cgreen1
774,chinde
775,ckochenas
776,cmasino
777,cmccartne
778,cmclaughl
779,cringwood
780,csmith1
781,csmith
782,csunde
783,cgall
784,chill
785,crassel
786,cgreen2
787,csteiner
788,cbergeron
789,cblalack
790,chenderso
791,cstillwel
792,canderson
793,carmstron
794,cboyle
795,cbryant
796,cconcanno
797,cdeluna
798,cdowd
799,cfortin
800,cgarrison
801,chaley
802,clukas
803,cmcfayden
804,cmchale
805,cnewell
806,colson
807,cross
808,crussell
809,ctipping
810,cughetta
811,cbauman
812,cbelfield
813,ckline
814,ctabor
815,cnguyen
816,cschloer
817,cbrotman
818,cschumach
819,cwilliams
820,catack
821,cbennett
822,chardesty
823,choward
824,cmccall
825,cmika
826,ctolbert
827,cbroyles
828,cgreen
829,ckerns
830,canderson1
831,cbunce
832,ccox
833,cfroats
834,ch
835,cmanahan
836,cmcgowan
837,cpoeppelm
838,cstewart
839,cbaker
840,ccoyne
841,cgeppert
842,craasch
843,ccampbell
844,cpederson
845,cwatkins
846,ctoriello
847,ddemarre
848,dchen1
849,dsmith
850,dbaumgart
851,dbellinge
852,dbenvenut
853,dcasey
854,dchazin
855,dclement
856,dcunningh
857,ddantzig
858,dgillick
859,dhassell
860,dhuebner
861,djakob
862,dlafrance
863,dlatz
864,dmccune
865,dmiesen
866,dmiller1
867,dnichols
868,doettinge
869,dreed
870,drowan
871,dschopler
872,dschuster
873,dsilverst
874,dsmeltzer
875,dturcotte
876,dvandam
877,dvockerot
878,dwang
879,dwilliams1
880,dyoung1
881,ddunbar
